,favorite_count,id,retweet_count
112,12512,870656317836468226,2701
113,83274,870374049280663552,26759
114,21968,870308999962521604,4238
115,36976,870063196459192321,8531
116,42778,869772420881756160,10273
117,28501,869702957897576449,6469
118,16128,869596645499047938,3206
119,20633,869227993411051520,3882
120,66328,868880397819494401,14881
121,0,868639477480148993,2155
122,27530,868622495443632128,5920
123,10276,868552278524837888,2155
124,24458,867900495410671616,4288
125,34419,867774946302451713,7531
126,16355,867421006826221569,2589
127,0,867072653475098625,131
128,32720,867051520902168576,8109
129,20395,866720684873056260,4981
130,19621,866686824827068416,3601
131,124226,866450705531457537,36356
132,53462,866334964761202691,14931
133,0,866094527597207552,8657
134,26031,865718153858494464,5781
135,26928,865359393868664832,5166
136,28486,865006731092295680,7932
137,32908,864873206498414592,9026
138,14894,864279568663928832,3155
139,30751,864197398364647424,9278
140,21014,863907417377173506,4289
141,15581,863553081350529029,4330
142,0,863471782782697472,2568
143,24272,863432100342583297,5474
144,2307,863427515083354112,101
145,8940,863079547188785154,1143
146,8711,863062471531167744,2568
147,19584,862831371563274240,5275
148,17442,862722525377298433,3674
149,20990,862457590147678208,5155
150,76295,862096992088072192,24237
151,36868,861383897657036800,11131
152,17590,861288531465048066,4340
153,17118,861005113778896900,3972
154,0,860981674716409858,2253
155,0,860924035999428608,852
156,7677,860563773140209665,2253
157,24180,860524505164394496,5502
158,18754,860276583193509888,3629
159,17094,860184849394610176,6095
160,0,860177593139703809,32282
161,20012,859924526012018688,4286
162,15779,859851578198683649,3659
163,19055,859607811541651456,1645
164,92401,859196978902773760,31658
165,34789,859074603037188101,14234
166,0,858860390427611136,8510
167,15954,858843525470990336,3637
168,22099,858471635011153920,5075
169,16168,858107933456039936,3053
170,16563,857989990357356544,2710
171,35242,857746408056729600,11134
172,6099,857393404942143489,1716
173,20595,857263160327368704,4752
174,236,857214891891077121,20
175,0,857062103051644929,178
176,19483,857029823797047296,4210
177,0,856602993587888130,11257
178,16779,856543823941562368,3033
179,12190,856526610513747968,1982
180,0,856330835276025856,713
181,533,856288084350160898,17
182,28543,856282028240666624,6661
183,360,855862651834028034,28
184,5141,855860136149123072,1095
185,12214,855857698524602368,2238
186,46908,855851453814013952,18673
187,27478,855818117272018944,5759
188,30971,855459453768019968,8709
189,0,855245323840757760,6329
190,0,855138241867124737,49
191,23667,854732716440526848,6480
192,30416,854482394044301312,7318
193,19605,854365224396361728,4984
194,33185,854120357044912130,7975
195,16804,854010172552949760,3346
196,29742,853760880890318849,6173
197,36337,853639147608842240,10829
198,16172,853299958564483072,3804
199,0,852936405516943360,2164
200,9430,852912242202992640,1969
201,15573,852672615818899456,2301
202,17096,852553447878664193,3759
203,34619,852311364735569921,10596
204,20905,852226086759018497,7310
205,11963,852189679701164033,1693
206,0,851953902622658560,10342
207,0,851861385021730816,23
208,16948,851591660324737024,3716
209,25395,851464819735769094,7593
210,21654,851224888060895234,6155
211,32533,850753642995093505,9995
212,13688,850380195714523136,2803
213,3583,850333567704068097,357
214,17129,850145622816686080,4113
215,21470,850019790995546112,5279
216,31993,849776966551130114,8200
217,0,849668094696017920,5352
218,16670,849412302885593088,3383
219,12019,849336543269576704,2042
220,44628,849051919805034497,9203
221,26519,848690551926992896,4665
222,26048,848324959059550208,4969
223,8610,848213670039564288,808
224,17215,848212111729840128,3334
225,0,847978865427394560,3521
226,0,847971574464610304,465
227,24744,847962785489326080,5539
228,5789,847842811428974592,1459
229,7387,847617282490613760,454
230,19765,847606175596138505,3664
231,21538,847251039262605312,4641
232,21090,847157206088847362,6341
233,22600,847116187444137987,3454
234,21197,846874817362120707,4255
235,47219,846514051647705089,12587
236,14960,846505985330044928,3360
237,33533,846153765933735936,9830
238,32597,846139713627017216,10672
239,16909,846042936437604353,3128
